player_id,first_name,last_name,birth_date,current_team_id,total_minutes,age,low_sample
230020,Alex,Iwobi,1996-05-03,1609,1840.0,21.245722108145102,False
339789,Mikel,Merino Zaz\u00f3n,1996-06-22,687,1344.0,21.1088295687885,True
399676,Pablo,Fornals Malla,1996-02-22,682,2622.0,21.440109514031484,False
328333,Lorenzo,Pellegrini,1996-06-19,3158,1836.0,21.117043121149894,False
20404,Bryan,Cristante,1995-03-03,3172,2833.0,22.414784394250518,False
295273,Godfred,Donsah,1996-06-07,3166,1795.0,21.149897330595483,True
302799,Rolando,Mandragora,1997-06-29,3197,3240.0,20.09034907597536,False
300669,Andrija,Bali\u0107,1997-08-11,3163,1077.0,19.97262149212868,True
209091,Corentin,Tolisso,1994-08-03,2444,1552.0,22.99520876112252,True
263614,Nadiem,Amiri,1996-10-27,2482,1744.0,20.761122518822724,True
289711,Naby Deco,Ke\u00efta,1995-02-10,2975,1975.0,22.472279260780287,False
425925,Kai,Havertz,1999-06-11,2446,2141.0,18.140999315537304,False
208652,Valentino,Lazaro,1996-03-24,2457,1859.0,21.35523613963039,False
144766,Nabil,Bentaleb,1994-11-24,2449,1087.0,22.68583162217659,True
134369,Max ,Meyer,1995-09-18,2449,1732.0,21.869952087611225,True
425926,Arne,Maier,1999-01-08,2457,1227.0,18.562628336755647,True
289359,Youssef,A\u00eft Bennasser,1996-07-07,19830,2056.0,21.06776180698152,False
209086,Morgan,Sanson,1994-08-18,3771,2172.0,22.954140999315538,False
260002,Valentin,Rongier,1994-12-07,3770,2361.0,22.650239561943877,False
335763,Salomon Junior,Sambia,1996-09-07,3787,1542.0,20.89801505817933,True
325781,James Edward,Lea Siliki,1996-06-12,3774,1742.0,21.136208076659823,True
256992,Angelo,Fulgini,1996-08-20,3799,1527.0,20.947296372347708,True
279717,Ainsley,Maitland-Niles,1997-08-29,1609,908.0,19.923340177960306,True
135114,Pierre-Emile,H\u00f8jbjerg,1995-08-05,1619,1671.0,21.99041752224504,True
4488,Sa\u00fal,\u00d1\u00edguez Esclapez,1994-11-21,679,3157.0,22.694045174537987,False
346195,Fabi\u00e1n,Ruiz Pe\u00f1a,1996-04-03,684,2662.0,21.32785763175907,False
167641,Stanislav,Lobotka,1994-11-22,692,3061.0,22.691307323750856,False
280383,Enis,Bardhi,1995-07-02,695,1579.0,22.083504449007528,True
